03-12 17:02:22.524  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:22.525  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:22.526  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:22.527  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:23.737  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:23.737  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:23.738  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:23.742  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:24.966  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:24.966  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:24.966  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:24.969  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:26.218  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:26.218  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:26.218  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:26.223  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.433  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.433  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.433  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.435  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.720  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.720  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.720  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:27.726  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.356  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.356  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.356  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.360  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.519  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.519  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.519  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.521  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.906  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.906  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.906  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:28.911  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:29.904  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:29.904  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:29.904  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:29.906  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:31.119  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:31.120  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:31.120  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:31.124  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:32.351  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:32.351  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:32.351  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:32.357  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:33.573  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:33.573  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:33.573  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:33.578  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:34.807  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:34.808  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:34.808  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:34.812  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:35.904  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:35.904  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:35.905  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
